learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
11700.0,0.453125,4.296630827916993E-9,11700.0,82.8,64.06725273256008,-8.860759493670892,63.40425531914893,11700.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
11800.0,0.453125,4.296630827916993E-9,11800.0,82.0,62.77376791512418,-13.924050632911403,61.62046908315564,11800.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
11900.0,0.453125,4.296630827916993E-9,11900.0,80.9,60.34086095630437,-37.410071942445995,56.68934240362813,11900.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
12000.0,0.46875,4.473711467451519E-9,12000.0,79.10000000000001,57.69950048979526,-51.4492753623188,53.4521158129176,12000.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
12100.0,0.46875,4.473711467451519E-9,12100.0,77.8,55.42383499590382,-46.05263157894733,51.948051948051955,12100.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
12200.0,0.46875,4.473711467451519E-9,12200.0,78.8,57.48009386469845,-29.268292682926784,53.20088300220751,12200.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
12300.0,0.484375,4.650792106986045E-9,12300.0,80.80000000000001,61.64832311287779,-17.07317073170726,57.80219780219781,12300.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
12400.0,0.484375,4.650792106986045E-9,12400.0,79.0,58.242029198763966,-22.807017543859597,55.974842767295605,12400.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
12500.0,0.484375,4.650792106986045E-9,12500.0,79.60000000000001,59.181550060627416,-29.936305732484026,59.118236472945895,12500.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
12600.0,0.484375,4.650792106986045E-9,12600.0,77.5,55.660481468051906,-49.006622516556256,52.02558635394456,12600.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
